转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,121.546,-0.71,141.296,19.75,101.5015,3.33,108.6318,AAA,30.0,0.8323066392881588,110.0,115.5,True,条款解析,2027-06-21,True
113048,晶科转债,114.974,-0.26,159.744,44.77,79.4183,4.47,110.8507,AA,30.0,0.6707734428473648,112.0,117.60000000000001,False,条款解析,2027-04-23,True
123114,三角转债,126.536,-0.2,163.976,37.44,92.067,22.69,113.4617,AA-,9.043727,0.758384668035592,113.4617,119.134785,True,纯债价值回退,2027-05-25,True
123119,康泰转2,126.817,1.76,164.327,37.51,92.2243,15.69,110.4527,AA,20.0,0.8980150581793293,110.4527,115.975335,True,纯债价值回退,2027-07-15,True
127034,绿茵转债,121.91,-1.5,169.01999999999998,47.11,82.8724,11.21,111.6244,AA-,7.12,0.6899383983572895,113.0,118.65,True,条款解析,2027-04-30,True
127046,百润转债,129.62,-0.24,171.68,42.06,91.2445,20.33,109.9036,AA,11.28,1.106091718001369,110.0,115.5,True,条款解析,2027-09-29,True
113070,渝水转债,127.185,0.16,172.185,45.0,87.7119,4.72,103.4505,AAA,19.0,4.386036960985626,110.9,116.44500000000001,True,条款解析,2031-01-09,True
113054,绿动转债,122.333,-0.04,173.423,51.09,80.9689,8.67,108.2024,AA+,23.6,1.514031485284052,109.0,114.45,True,条款解析,2028-02-25,True
113067,燃23转债,128.2,-0.16,174.82999999999998,46.63,87.4309,7.24,104.9622,AAA,30.0,2.9322381930184807,108.8,114.24,True,条款解析,2029-07-27,True
110087,天业转债,125.303,0.2,175.88299999999998,50.58,83.2143,5.6,106.6211,AA+,30.0,1.839835728952772,108.0,113.4,True,条款解析,2028-06-23,True
123133,佩蒂转债,129.741,0.43,179.211,49.47,86.8,15.0,114.1503,AA-,7.2,1.3360711841204653,115.0,120.75,True,条款解析,2027-12-22,True
127054,双箭转债,124.9,0.08,182.96,58.06,79.023,6.96,111.1606,AA,5.1364,1.4757015742642026,112.0,117.60000000000001,True,条款解析,2028-02-11,True
110093,神马转债,123.119,0.35,183.56900000000002,60.45,76.7327,8.08,105.612,AAA,30.0,2.568104038329911,108.8,114.24,True,条款解析,2029-03-16,True
127108,太能转债,124.5,-0.16,187.17000000000002,62.67,76.5343,5.54,107.9272,AA+,29.5,4.59958932238193,107.9272,113.32356,True,纯债价值回退,2031-03-28,True
110086,精工转债,123.012,0.52,189.332,66.32,73.9606,4.57,110.775,AA,20.0,1.6700889801505818,110.775,116.31375000000001,True,纯债价值回退,2028-04-22,True
110095,双良转债,116.403,-0.19,189.33300000000003,72.93,67.3139,6.18,106.286,AA-,26.0,2.965092402464066,111.8,117.39,False,条款解析,2029-08-08,True
113652,伟22转债,127.143,0.01,189.44299999999998,62.3,78.3386,19.02,108.332,AA,14.77,1.919233401779603,110.0,115.5,True,条款解析,2028-07-22,True
123216,科顺转债,123.426,0.06,190.946,67.52,73.6762,6.61,111.0062,AA-,21.98,2.954140999315537,116.8,122.64,True,条款解析,2029-08-04,True
110100,龙建转债,122.161,0.3,192.071,69.91,71.8954,4.59,102.2369,AA,10.0,5.420944558521561,113.4,119.07000000000001,True,条款解析,2032-01-22,True
127102,浙建转债,121.998,0.11,192.89800000000002,70.9,71.3864,10.17,105.8498,AA+,10.0,3.345653661875428,111.3,116.865,True,条款解析,2029-12-25,True
127069,小熊转债,129.449,0.51,197.449,68.0,77.0533,43.71,113.069,AA-,5.36,1.9767282683093772,113.069,118.72245000000001,True,纯债价值回退,2028-08-12,True
113682,益丰转债,129.308,0.24,197.788,68.48,76.7494,31.44,107.5507,AA,17.97432,3.5345653661875427,113.3,118.965,True,条款解析,2030-03-04,True
113674,华设转债,128.354,0.65,198.594,70.24,75.3957,6.95,109.7785,AA,4.0,2.915811088295688,113.8,119.49000000000001,True,条款解析,2029-07-21,True
113627,太平转债,115.816,0.22,201.136,85.32,62.4939,20.61,108.4803,AA,8.0,0.8980150581793293,110.0,115.5,True,条款解析,2027-07-15,True
111018,华康转债,124.19,0.08,203.89,79.7,69.1103,15.96,110.8149,AA-,13.03023,3.345653661875428,118.5,124.42500000000001,False,条款解析,2029-12-25,True
113647,禾丰转债,118.678,0.54,206.958,88.28,63.0327,10.09,110.775,AA,15.0,1.6700889801505818,112.0,117.60000000000001,True,条款解析,2028-04-22,True
111004,明新转债,127.121,0.38,207.651,80.53,70.4144,24.37,113.9941,AA-,6.73,1.6071184120465434,115.0,120.75,True,条款解析,2028-03-30,True
123193,海能转债,128.062,0.21,211.192,83.13,69.931,14.5,112.1712,AA-,6.0,2.64476386036961,117.0,122.85000000000001,True,条款解析,2029-04-13,True
113655,欧22转债,121.145,0.05,212.845,91.7,63.1936,51.54,110.1907,AA,20.0,1.9575633127994525,110.1907,115.700235,True,纯债价值回退,2028-08-05,True
